NOME_FEIRA	LAT	LONG
Feira Dom Vital	-8.06785	-34.878208
Feira Água Fria	-8.018861	-34.895011
Feira de Beberibe	-8.037481	-34.891785
Feira Arruda	-8.025208	-34.893689
Feira Encruzilhada	-8.036735	-34.891921
Feira Alto do Deodato	-8.012372	-34.89941
Feira Casa Amarela	-8.026202	-34.917926
Feira Nova Descoberta	-8.000821	-34.923073
Feira Bomba Grande	-8.047332	-34.931098
Feira do Cordeiro	-8.052208	-34.921784
Feira da Várzea	-8.049637	-34.960032
Feira do Engenho do Meio	-8.056383	-34.943758
Feira de Areias	-8.088718	-34.934379
Feira da Mustardinha	-8.071074	-34.918055
Feira de Afogados	-8.077787	-34.90709
Feira do Jordão	-8.137061	-34.937023
Feira do Ibura UR – 01	-8.118719	-34.946475
