ID_ESTACAO	ESTACAO	CAPACIDADE	LAT	LONG
1	1 - Prefeitura	15	-8.055353	-34.871916
2	2 - Praça Tiradentes	15	-8.058764	-34.872428
3	3 - Praça do Arsenal	23	-8.06133700000001	-34.871045
4	4 - Boulevard Rio Branco	23	-8.062496	-34.872956
5	5 - Paço Alfândega	31	-8.0637776	-34.874296
6	6 - Cais de Santa Rita	15	-8.06715100000001	-34.87577
7	7 - Praça da República	19	-8.061067	-34.878376
8	8 - Praça da Independência	23	-8.06421499999999	-34.878397
9	9 - Praça Joaquim Nabuco	27	-8.06446599999999	-34.881342
10	10 - Casa da Cultura	27	-8.06673399999999	-34.882855
11	11 - Ponte do Limoeiro	11	-8.050691	-34.874211
13	13 - Tortura Nunca Mais	19	-8.05615999999999	-34.878349
14	14 - Parque Treze de Maio	19	-8.05854899999999	-34.881068
15	15 - Cine São Luiz	19	-8.062228	-34.882024
17	17 - Igreja de Santa Cruz	15	-8.06230899999999	-34.888065
18	18 - Riachuelo	19	-8.058408	-34.885391
19	19 - Sossego	15	-8.054569	-34.8841174
20	20 - Palmares	15	-8.05392387695119	-34.8828497604428
21	21 - Diário de Pernambuco	15	-8.051114	-34.879398
22	22 - R. Frei Cassimiro	15	-8.048288	-34.877915
23	23 - SESC Santo Amaro	19	-8.04977	-34.88283
24	24 - Cemitério de Santo Amaro	15	-8.051018	-34.886211
25	25 - Rua do Lazer	19	-8.054149	-34.888034
26	26 - Praça Oswaldo Cruz	19	-8.054832	-34.891211
27	27 - R. da Soledade	15	-8.0579628	-34.8898602
28	28 - Salesiano	15	-8.06128499999999	-34.892123
29	29 - Praça Miguel de Cervantes	15	-8.065311	-34.893659
30	30 - SJCC	15	-8.05360199999999	-34.878888
31	31 - Castelinho	19	-8.12864834850458	-34.8984389459384
32	32 - Praça Chora Menino	15	-8.06087199999999	-34.895077
33	33 - CNBB	15	-8.05739354575839	-34.8951226754574
35	35 - Praça do Derby	23	-8.05595375800722	-34.8992873951124
36	36 - Politécnica	22	-8.059092	-34.903636
37	37 - Praça João Pereira Borges	15	-8.05437843260446	-34.9016718911289
38	38 - Ponte da Capunga	15	-8.052481	-34.904856
39	39 - Instituto Capibaribe	15	-8.050464	-34.901807
40	40 - Beira Rio	17	-8.047537	-34.904203
42	42 - Praça do Entroncamento	15	-8.050456	-34.897135
43	43 - Rua Samuel Pinto	15	-8.052101	-34.892576
44	44 - Praça Otília	11	-8.04867260630977	-34.8923836021946
45	45 - R. Bruno Maia	15	-8.04713299999999	-34.897235
46	46 - R. Adalberto Camargo	11	-8.04410299999999	-34.899802
47	47 - Faculdade Damas	19	-8.039353	-34.902844
48	48 - Parque da Jaqueira	23	-8.03663499999999	-34.903495
49	49 - Praça Dr. José Vilela	15	-8.03391726233117	-34.9115093450936
51	51 - Praça da FEB	11	-8.040197	-34.894887
52	52 - Clube do Náutico	15	-8.04199099999999	-34.897403
53	53 - Rua Dr. Vicente Meira	11	-8.04405700000001	-34.894871
54	54 - Venezuela	15	-8.047208	-34.894206
55	55 - Hospital Oswaldo Cruz	15	-8.047704	-34.888158
56	56 - R. Bernardino Soares da Silva	11	-8.04438900000001	-34.890618
57	57 - R. Alfredo de Medeiros	11	-8.04190899999999	-34.890879
58	58 - Mercado da Encruzilhada	23	-8.037097	-34.891258
59	59 - Praça do Rosarinho	15	-8.032677	-34.896746
60	60 - Pina	27	-8.099069	-34.884039
61	61 - Segundo Jardim	27	-8.10508599999999	-34.886842
62	62 - Prof. José Brandão	27	-8.113701	-34.890987
63	63 - Padre Carapuceiro	26	-8.12068499999999	-34.89528
64	64 - R. Verdes Mares	18	-8.13495000000001	-34.901145
65	65 - Parque Dona Lindú	27	-8.142092	-34.903593
66	66 - Rua Eng. Antônio Jucá	15	-8.167407	-34.913836
67	67 - Shopping Guararapes	19	-8.166161	-34.915633
69	69 - Praça Massangana	17	-8.15737819999999	-34.9159162
70	70 - Metrô Monte dos Guararapes	23	-8.15430500000001	-34.91978
71	71 - Mercado Eufrásio Barbosa	17	-8.020279	-34.85384
72	72 - Praça do Carmo	23	-8.016776	-34.848363
73	73 - Praça Doze de Março	10	-8.00978400000001	-34.84241
74	74 - Posto Polo Pina	21	-8.09197638813694	-34.8822640155574
75	75 - Alberto Lundgren	15	-8.00234899999999	-34.839632
76	76 - R. Dr. Manoel de Barros Lima	17	-7.996463	-34.838687
77	77 - Praia da Casa Caiada	18	-7.988542	-34.838358
78	78 - CCS UFPE	18	-8.05008	-34.947322
79	79 - NIATE UFPE	18	-8.05505300000001	-34.952565
80	80 - Restaurante Universitário UFPE	25	-8.050534	-34.953219
12	12 - Praça Melvin Jones	15	-8.0318	-34.90636
16	16 - Matriz da Boa Vista	15	-8.06122	-34887
89	89 - Rua Couto Magalhães	23	-8.03028	-34.89448
90	90 - Mercado Novo Água Fria	23	-8.01978	-34.89442
41	41 - Praça Castro Alves	11	-8.04019	-34.88671
68	68 - Beira Mar	19	-8.16164	-34.9122
34	34 - Terceiro Jardim de Boa Viagem	15	-8.108273	-34.888451
50	50 - Rosarinho	15	-8.0347921	-34.9002126
81	81 - Estrada do Encanamento	18	-8.03171	-34.91529
82	82 - Estrada das Ubaias	15	-8.028935	-34.917614
83	83 - Mercado Casa Amarela	23	-8.0271	-34.91757
84	84 - Sítio Trindade	18	-8.02784	-34.911995
85	85 - Hospital Agamenon Magalhães	15	-8.02937	-34.90641
86	86 - Plaza Casa Forte	19	-8.0366	-34.91338
87	87 - Mercado da Madalena	22	-8.0533463	-34.908905
88	88 - Praça Eça de Queiroz	19	-8.050924	-34.906708
